Id,gripForce
0,17.888785232436284
1,15.905660529313268
2,58.77590645346475
3,21.15107853114155
4,37.32364971055021
5,31.598987659698498
6,21.966920429934532
7,29.736022817800574
8,29.45608131871177
9,26.88375478358202
10,39.658051573687565
11,91.87028629567985
12,66.6201208110657
13,15.684636398535332
14,31.162362476144118
15,30.729778034821514
16,31.598987659698498
17,21.852376267887244
18,19.858115540411458
19,35.55513252510647
20,68.80732440616687
21,33.996674452471886
22,70.79124496507977
23,64.71528517942187
24,15.776479239382494
25,88.63271273776056
26,54.46296551446806
27,20.839344887326714
28,33.84338217031094
29,17.10016787215882
30,66.14045556128299
31,37.98100217800586
32,30.729778034821514
33,30.58647791705256
34,51.168632323759624
35,22.336150320620025
36,10.745495499087697
37,86.32651187030994
38,9.967233387005333
39,26.232665785339268
40,14.785735662668602
41,38.14653751361839
42,58.997331809840595
43,24.589216582664875
44,15.868679911719259
45,56.59204777423053
46,20.839344887326714
47,17.888785232436284
48,16.42943736757621
49,33.996674452471886
50,49.375341010223785
51,20.399346926419565
52,25.087354440819073
53,38.31255312817878
54,27.679173563438233
55,46.10327742047369
56,24.837452967098095
57,57.4589791150327
58,17.197451236390343
59,71.29311322403001
60,65.42528333188002
61,13.502825618205438
62,70.29173751961191
63,60.337572058820605
64,46.10327742047369
65,75.65509778565864
66,22.429099784778334
67,13.83736368729272
68,69.79458532183287
69,32.63359927039627
70,84.34170244359251
71,34.86367222000902
72,71.54493439787146
73,58.77590645346475
74,133.97430050431092
75,18.57787226020434
76,20.950324182491322
77,37.32364971055021
78,52.83985958844202
79,105.93599574605646
80,35.082700711479276
81,44.24781746794756
82,29.45608131871177
83,30.30121555117741
84,44.79912519066069
85,32.3357267459118
86,15.961239111269808
87,28.218075038770873
88,16.71470317427398
89,23.13445346666939
90,13.01119687990671
91,48.98260723868601
92,20.290323762509626
93,19.644332349348584
94,55.73388066054382
95,20.07344415620062
96,76.17967136664483
97,40.68759062709662
98,67.58639738913611
99,16.81052042633739
